#Upper Colorado Basin Intervening Natural Flows (ac-ft/mon)
#start 1 1906
#end 12 2001
"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ"
154771,110113,8871,95129,26500,94471,173211,-61212,147000,26131,127771,226907,75555,105043,70262,1149,15410,211887,71045,-86199
770934,389027,40319,342691,82300,363467,250023,-88030,356900,7162,251275,634232,183505,310885,151965,-23967,113372,381662,190775,-22846
1132594,450326,56365,378963,75800,361550,168949,-14,598500,24557,182122,571321,187924,366522,197169,155316,111011,384197,311774,581066
382642,340219,37868,204914,21100,241396,113584,18025,319400,23378,68173,170153,79820,119597,113527,135091,34238,157357,195024,341187
186215,149434,14022,99248,9300,102211,70805,2625,125300,5474,53561,45168,48130,44640,57164,59213,19492,89990,156982,66464
112069,70795,9521,57217,4500,60521,36573,-2772,55800,5575,25598,22820,28358,33872,32883,10641,5321,68893,134518,11161
101672,42793,9951,56249,6900,27251,20251,-3516,36000,-2200,37717,33342,15394,51161,32524,43569,10107,86068,137089,222605
58314,48268,6803,41197,6000,20823,20480,15177,31000,-1300,21032,22910,10866,33457,24897,20168,2505,38597,55281,50880
38006,27068,4437,25563,1900,41077,8674,-5432,24000,600,12182,15829,3736,28947,17162,-5301,3700,22344,40235,29603
38568,52564,4197,22803,3100,36038,12693,10191,20000,-100,23502,11141,2967,24778,19928,-7986,3000,21660,40700,-35610
37156,37815,3820,19180,3600,29311,13312,7101,18000,0,36052,15178,2991,20730,15873,-6721,2600,36611,92691,12036
45815,39198,4198,42802,7700,9832,25329,3274,41000,8100,31191,34500,16638,24205,26900,8050,12800,71993,65105,7209
136351,89297,7216,77784,21500,127603,162027,-20204,71000,13200,47188,143428,27286,63277,59669,33442,15008,296684,183328,-71212
286563,225158,18765,121245,31700,309786,209442,-31931,100000,-700,80706,269643,58466,83812,83869,38105,33497,340274,249651,-80914
584541,373354,33939,236289,48500,267113,154483,26864,176100,2100,140245,285277,83079,183572,114847,68664,47692,400317,257950,157546
309362,188905,22137,119245,10000,123920,68480,26105,187000,18100,34380,96416,44720,75652,61333,64946,22665,239547,207453,227429
109559,85043,9196,58174,4600,42987,37951,-11433,94600,8200,31643,24022,37679,37320,36683,32436,8376,69318,76836,60348
67986,46620,8123,29815,3000,24278,18248,-2774,70000,5600,24156,15844,24334,25166,27991,16329,4915,42457,34946,41834
71183,37787,5995,27005,3100,33489,28290,-6179,61500,12300,15570,26666,13740,54783,29965,38220,610,30482,33762,39715
48013,32432,4166,23834,4600,37107,16146,-1407,42000,6500,12130,23872,8482,33865,22246,22838,7107,35057,4650,27412
42722,33575,4364,20636,2500,45846,15347,-9545,35000,3300,11954,17756,7699,35447,16573,-9904,4200,18975,20163,26640
44486,45678,2717,20283,1600,54538,16488,-4133,25000,500,26298,13450,4921,34662,13048,-8092,3600,29163,51227,18562
39515,42812,2922,16078,3400,66003,21387,-5868,28000,4700,32203,17216,11201,37695,17263,-15264,4700,29366,51248,19790
76730,78863,4036,33964,6800,116963,97158,9140,80000,41300,60026,99210,57169,65564,63471,95597,23300,212423,169237,451
142655,133401,6615,101385,28000,157979,291673,-88420,140000,17300,97601,174027,54336,83501,63896,17417,12309,285980,168540,-85460
457586,355956,26824,283186,68400,296125,371643,-101715,247000,-8500,167781,440163,137404,182697,128560,74234,40333,350984,265495,-47968
730234,493851,49493,389535,76500,236473,270357,-157,493900,27900,205214,344181,114299,245501,139487,-20660,77496,433131,262836,182578
332998,296765,32606,170676,18600,155132,136224,-24459,350900,28400,42965,125746,55371,107291,97939,41041,36400,190935,174253,263278
197641,209038,16631,131639,10400,99113,103877,12755,149200,11500,30711,48888,36657,69190,74725,82530,33383,191968,268442,153576
113043,84755,10572,56266,4700,51467,38103,-5621,60700,4900,23806,26683,16458,30680,39818,10488,7818,80336,89984,64543
96695,137428,10963,54037,7300,-8412,116763,14726,51000,2700,33219,46100,24108,71319,39561,44019,52310,210098,345129,53729
62460,57011,5717,32283,4600,13929,17372,12600,31000,-200,17865,33900,13784,30890,20363,8626,4807,63496,73404,-8192
48365,43073,5324,26676,1800,21539,9807,9901,24000,900,12359,29500,7205,28759,20599,5331,5400,34682,26808,7089
42783,24644,2913,20087,2800,26464,5992,-2619,22000,1000,8143,23600,2852,16896,17265,-11911,1200,25622,42018,-11452
40979,31230,3008,19992,4200,22783,11789,4942,20000,200,16546,22200,11531,22028,20913,3893,5600,24422,53328,12274
48255,37620,2397,26603,4800,46134,27096,528,32000,500,33888,41800,17519,31407,34360,17857,8000,41213,43110,11805
172487,77044,12727,62273,18800,114235,134707,-57317,113000,21800,88800,213100,88304,97838,71274,26426,11609,222038,131736,-75593
422734,231652,24241,160769,41000,418090,328305,-77785,309000,-16400,190453,618485,206575,199441,140392,5596,54636,354078,215489,-63439
1203686,735444,76116,488812,98600,525788,340133,56344,602600,19200,335251,784507,229650,549663,259493,147982,152908,570353,334056,261465
620232,458938,48181,239301,28000,236393,138264,66941,628500,50100,149753,295425,132592,293797,147173,272389,52102,332382,264076,486354
177627,170587,14114,90756,9000,84428,73432,11957,169700,12200,51216,58338,60389,99374,64981,84887,26383,94721,92212,172690
99293,80990,9492,46146,3700,38464,45000,4430,81500,5100,31063,30819,30627,42444,40019,19556,19418,32713,53040,108238
74129,62720,8746,38454,6100,16574,10898,-2619,52400,6200,22203,23043,10178,47037,30547,18199,4407,22097,30164,28869
68945,47220,5152,25848,3500,27774,5098,2630,41000,6000,9773,21600,10039,38266,29640,29107,4705,28497,5803,37455
59410,47973,3714,22286,1600,27878,6185,1815,32000,1800,9551,20100,9967,48019,34711,12607,3900,8230,19370,31655
50853,45218,3560,19440,2800,29469,5387,-1245,23000,0,22098,19100,9986,34245,27328,14649,3400,16121,8879,22005
49058,41851,3811,22189,3900,28117,7196,3250,21000,1200,26209,19600,8197,33447,20329,7282,4100,25059,26241,21534
79078,69523,4831,29169,5900,43882,24172,8435,44000,10700,43834,57400,21365,30359,28081,15757,6700,64226,54774,13812
126500,90523,8627,53373,15500,86047,58349,-25179,93000,14200,81277,139055,29654,35567,38974,-34720,6408,74984,51777,-42869
570986,320436,34589,255721,63400,251972,84929,-56904,204900,-11900,171573,373996,89849,114215,92549,-86259,16394,198237,136186,-64263
1198263,549180,75191,421237,85000,217181,69737,24563,770200,65200,99760,466880,153493,279503,151104,-14177,60680,230106,256878,233103
356694,255545,34422,147860,15900,74847,31962,19078,278000,21600,32954,152380,64297,97674,88559,172196,54661,117684,120584,151963
132773,108918,16584,106986,8800,2717,19161,-1770,126400,8800,35135,34052,35018,50480,41120,31411,23875,62741,52666,72359
100034,73627,14132,72206,6000,14551,15067,-3499,57900,4100,23839,26956,20480,32267,32150,1771,11614,64352,100671,23655
89297,57930,9187,51213,5400,4486,26129,2421,50700,5200,30487,35665,13219,44440,34379,21724,6791,17395,26201,37645
68111,52481,5562,28438,5200,35438,14658,10994,40000,4500,9506,29500,9756,32565,32586,23171,7430,23259,18541,44689
52079,62403,4814,22186,1900,39506,16981,4413,28000,-400,5890,23300,7630,28977,29953,9072,3428,30809,6491,32656
47061,45905,4890,15110,900,29044,8731,40,22000,0,9216,19600,3431,17628,18095,-2131,2242,24167,7333,13926
40205,34607,3982,15018,3200,26693,10520,1848,19000,200,15943,21100,8650,24551,16149,-3925,3942,25508,26692,23068
63580,54754,4596,31404,5800,39483,42024,8240,36000,4300,28693,41800,21067,38878,45187,63318,8736,50243,53457,11728
156749,87787,10080,73920,21000,163681,159631,-58971,81000,14100,69706,188771,43233,46883,51447,-876,15809,230542,131354,-71127
463641,336722,32970,247040,61500,222789,254866,-44451,165800,1300,93056,416964,67177,144408,97739,26914,55113,377934,283258,-73297
345500,284334,32297,182531,35900,167284,139188,16626,163600,4500,70085,160997,68607,78735,84899,128048,34601,279429,207559,113037
178533,149583,23311,109471,9700,106499,52091,18146,57300,7600,32004,33346,29289,22731,57979,72364,9604,170299,218977,178477
114824,87913,12420,75050,4600,61158,37016,2644,41500,4400,35404,22288,20103,11106,36719,30378,8791,112165,127515,58505
82416,56602,11259,36379,4000,33987,21128,-5988,34100,2300,25774,13672,16551,20820,24001,7711,6742,50196,53396,36892
65121,37857,7603,29497,3500,19930,16086,-9776,44000,500,20020,14300,9847,11033,23889,3251,1018,25941,38390,15394
60461,37372,5940,28060,5000,31526,12125,4698,33000,1200,13772,19200,11051,27033,21380,-580,2897,28839,30861,30952
51737,45256,5494,23506,1700,29250,15616,226,23000,0,9323,15200,6213,27177,23650,-10791,2827,33018,46982,44708
44661,55137,3494,21506,2600,28889,15309,6467,21000,500,17926,15000,5093,30638,23028,-3004,2638,34678,61022,20358
39778,41313,3613,21387,3700,46553,21661,12552,21000,500,22812,17700,9023,26400,27962,17545,4362,67972,179728,16083
