700 Year Tree Ring ENSO Index Reconstructions
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 700 Year Tree Ring ENSO Index Reconstructions
LAST UPDATE: 9/2009 (Original receipt by WDC Paleo) 
CONTRIBUTOR: Ed Cook, Lamont-Doherty Earth Observatory 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2009-105 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Cook, E.R., et al. 2009.  
Tree Ring 500 Year ENSO Index Reconstructions. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2009-105. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Cook, E.R., R.D. D'Arrigo, and K.J. Anchukaitis. 2008. 
ENSO reconstructions from long tree-ring chronologies: 
Unifying the differences? 
Talk presented at a special workshop on 
"Reconciling ENSO Chronologies for the Past 500 Years", 
held in Moorea, French Polynesia on April 2-3, 2008.

ABSTRACT: 


GEOGRAPHIC REGION: Pacific
PERIOD OF RECORD: 1300-1979 AD (1980-2006 data are instrumental) 

FUNDING SOURCES: 

 

DESCRIPTION: 
Reconstructions of Niño 1+2, 3, 3.4, and 4 indices based on tree-ring 
data from Mexico and Texas.  The reconstructions go back to AD 1300, 
with the best verified portion beginning in AD 1400. Post-1979 data 
are all instrumental, reconstructions cover the period AD 1300-1979.

The four recons are very similar because they are based on only 
reconstructing the two leading modes (EOFs) of tropical Pacific 
December-January-February Sea Surface Temperature variability. 




DATA:

Year      Niño1+2     Niño3    Niño3.4      Niño4
1544      -0.112     -0.204     -0.252     -0.194
1545       0.159      0.227      0.255      0.189
1546      -0.671     -0.864     -0.896     -0.573
1547       0.149      0.252      0.265       0.16
1548      -0.381     -0.603     -0.722     -0.632
1549       0.195      0.318      0.369      0.272
1550       1.266       1.59      1.663      1.095
1551       0.762      1.003      1.112      0.838
1552       0.162      0.155      0.179      0.136
1553       1.076      1.249      1.321      0.952
1554       0.383      0.426       0.41      0.211
1555      -0.075     -0.194     -0.244      -0.31
1556       0.764      0.974       1.05      0.708
1557       -0.36     -0.518     -0.548     -0.343
1558       0.455      0.657      0.751      0.568
1559       0.002     -0.056      -0.04      0.035
1560      -0.984     -1.201     -1.232     -0.803
1561      -0.609     -0.648     -0.701     -0.575
1562       0.142      0.209      0.188      0.091
1563       0.074      0.096      0.078      0.035
1564       0.146      0.171      0.174      0.116
1565       0.359      0.505      0.576      0.435
1566      -0.364     -0.473     -0.498     -0.469
1567      -1.141     -1.344     -1.423     -1.027
1568      -0.746     -0.875      -0.98     -0.763
1569      -0.406     -0.594     -0.762     -0.684
1570      -0.225     -0.279     -0.399     -0.407
1571      -1.016     -1.436     -1.669     -1.358
1572      -0.787     -1.012     -1.145     -0.956
1573       -0.65     -0.756     -0.856     -0.659
1574       0.012      0.035      0.002      0.002
1575       0.068      0.023     -0.001     -0.004
1576      -0.512     -0.667     -0.707     -0.495
1577       0.002      0.044       0.05     -0.005
1578       0.028      0.014     -0.017     -0.042
1579      -0.907     -1.272     -1.433     -1.162
1580      -0.837     -0.892     -0.998     -0.869
1581      -0.109     -0.038     -0.039       0.02
1582       0.333      0.388      0.377      0.243
1583        0.34      0.382      0.499      0.513
1584      -0.648     -0.837     -0.834     -0.526
1585       -0.05      0.025      0.057          0
1586       0.836      1.033      1.097      0.759
1587       -0.01     -0.038     -0.029      0.017
1588      -0.112     -0.135     -0.155     -0.166
1589      -0.602     -0.768     -0.781      -0.49
1590      -0.208     -0.208     -0.264     -0.267
1591       0.533      0.701      0.735      0.536
1592      -0.297     -0.432     -0.499     -0.406
1593      -0.499     -0.576     -0.564     -0.373
1594       1.378      1.764      1.848      1.183
1595       0.441      0.397      0.369      0.198
1596      -0.079     -0.099     -0.045       0.01
1597        0.29      0.395      0.418      0.204
1598       0.245      0.243      0.245       0.15
1599      -0.162     -0.246      -0.26     -0.194
1600      -0.448     -0.547     -0.584     -0.454
1601       -0.41     -0.423     -0.456     -0.328
1602       0.462      0.555      0.544      0.327
1603        0.78      0.968      1.027      0.743
1604      -0.247     -0.285     -0.272     -0.152
1605      -0.329     -0.467     -0.488     -0.363
1606       0.288       0.38      0.398      0.248
1607       0.447       0.51      0.486       0.31
1608       0.375        0.4      0.419      0.302
1609       0.128      0.133      0.146      0.067
1610       0.725      0.911      0.936       0.54
1611      -0.114     -0.169     -0.202     -0.194
1612       0.116      0.192      0.212        0.1
1613      -0.533     -0.761     -0.917     -0.815
1614      -0.078     -0.052     -0.073     -0.103
1615      -0.501     -0.633     -0.746     -0.617
1616       0.006      0.025     -0.014      -0.04
1617      -0.069     -0.143     -0.197     -0.186
1618       0.724      0.919      0.878      0.401
1619      -0.662     -0.806     -0.899     -0.684
1620       0.609      0.857      0.904       0.54
1621       0.357      0.299      0.187     -0.066
1622      -0.377     -0.527     -0.648     -0.671
1623      -0.525     -0.579     -0.597     -0.412
1624      -0.516     -0.629      -0.69      -0.52
1625      -0.776     -0.952     -1.031     -0.692
1626      -0.492     -0.611     -0.699     -0.563
1627       0.138      0.093      0.036     -0.002
1628       0.326      0.447      0.477      0.396
1629       0.584      0.687      0.704      0.454
1630       0.475      0.528      0.552      0.325
1631       0.101      0.089      0.127      0.064
1632      -0.128     -0.196     -0.219     -0.261
1633      -0.625     -0.871     -0.985     -0.824
1634       0.334      0.475       0.44      0.179
1635       1.141      1.385      1.412      0.929
1636        0.34      0.256      0.246      0.171
1637      -0.486     -0.589     -0.628     -0.536
1638       0.099      0.273      0.349      0.247
1639       0.992      1.216      1.231      0.783
1640       0.736      0.857      0.906      0.674
1641         0.4      0.525      0.584      0.375
1642       0.796      0.972      1.069      0.743
1643      -0.083     -0.066     -0.095     -0.157
1644      -0.103     -0.081     -0.118     -0.202
1645      -0.628      -0.75     -0.857     -0.702
1646       0.897      1.188      1.202      0.739
1647       0.311      0.176      0.098      -0.03
1648      -1.221     -1.516     -1.597     -1.121
1649       0.406      0.688      0.779      0.557
1650       0.581      0.658      0.653      0.457
1651       1.219      1.497      1.575      1.092
1652        0.31       0.28       0.29      0.131
1653      -1.143     -1.403     -1.513     -1.212
1654      -0.839     -0.979     -1.044     -0.794
1655       0.747      0.918      0.848      0.447
1656       0.885      1.071      1.117      0.829
1657      -0.512     -0.721     -0.787     -0.591
1658       0.189      0.366      0.492      0.341
1659      -0.477      -0.63      -0.71     -0.591
1660       0.199      0.347      0.356       0.25
1661        0.57      0.652      0.648      0.426
1662      -0.036     -0.112      -0.13      -0.13
1663      -0.379     -0.486     -0.534     -0.454
1664      -0.781       -0.9     -0.916     -0.603
1665       0.293      0.521       0.55      0.371
1666      -0.151     -0.201     -0.307     -0.281
1667      -0.217      -0.35     -0.408     -0.375
1668      -0.972     -1.185     -1.233      -0.87
1669        0.05      0.128      0.111      0.007
1670      -0.239      -0.33     -0.428     -0.382
1671       0.742       0.99      1.051      0.757
1672      -0.475     -0.641      -0.67     -0.443
1673       -0.52     -0.555      -0.59     -0.482
1674       0.912      1.205      1.328      0.996
1675      -0.082     -0.187     -0.222     -0.135
1676      -0.803       -1.1     -1.211     -0.966
1677       0.319      0.512      0.575      0.389
1678      -0.247      -0.38     -0.428     -0.293
1679      -0.064     -0.034     -0.006      0.069
1680       0.696      0.878      0.949      0.686
1681       0.383      0.435      0.444      0.248
1682       0.667      0.838      0.946      0.728
1683      -0.064     -0.164     -0.124     -0.012
1684      -0.415     -0.472     -0.456     -0.292
1685      -1.281     -1.567     -1.675     -1.183
1686       0.285      0.467      0.443      0.212
1687       0.432      0.483      0.457      0.318
1688      -0.631     -0.784     -0.892     -0.723
1689       0.209      0.324      0.344       0.16
1690       0.455      0.542      0.507      0.275
1691      -0.418     -0.609     -0.715     -0.587
1692       0.608      0.777      0.825      0.571
1693       0.477      0.503      0.518      0.367
1694       0.213      0.282      0.318      0.288
1695       0.868      1.049      1.157      0.813
1696      -1.347     -1.765     -1.847     -1.229
1697      -0.546     -0.527     -0.485      -0.32
1698      -0.504     -0.663     -0.736     -0.521
1699       0.108      0.137      0.083     -0.028
1700        0.06      0.051       0.04      0.011
1701      -0.014     -0.041     -0.081     -0.153
1702       0.246      0.383      0.477      0.394
1703      -0.327     -0.455     -0.541     -0.488
1704      -0.462     -0.524     -0.555     -0.408
1705      -0.486     -0.641     -0.695     -0.538
1706       0.091      0.065     -0.008     -0.106
1707      -0.242     -0.342     -0.389     -0.309
1708       0.022      -0.03     -0.099     -0.204
1709        -0.4     -0.422     -0.432     -0.299
1710       0.904      1.104      1.112      0.641
1711       0.031       0.01      0.009      0.008
1712       0.204      0.293      0.339        0.2
1713       -0.03     -0.045     -0.011      0.032
1714      -0.245     -0.315     -0.373     -0.331
1715      -0.717     -0.884     -0.984     -0.776
1716      -0.827     -1.026     -1.101     -0.812
1717       0.004      0.085      0.087       0.08
1718        0.55      0.666      0.651      0.452
1719      -0.074       -0.2     -0.252     -0.205
1720       0.018      0.006      0.004      -0.11
1721       0.053      0.096       0.03     -0.164
1722       0.339       0.47      0.452      0.218
1723       0.623      0.767      0.803      0.544
1724      -0.264     -0.396     -0.409      -0.22
1725      -0.791     -0.954     -0.975     -0.707
1726       1.205       1.48      1.467      0.861
1727       1.362      1.646      1.744      1.293
1728      -0.142     -0.187     -0.205     -0.151
1729      -0.325     -0.292     -0.241     -0.223
1730      -0.142     -0.054     -0.006      0.048
1731       0.413      0.503      0.481      0.271
1732       0.459      0.553      0.592      0.432
1733      -1.084     -1.422     -1.558     -1.187
1734       0.234      0.352      0.392      0.271
1735       0.208      0.207      0.188      0.082
1736       0.524      0.615      0.583      0.322
1737       0.244      0.197      0.222      0.134
1738       0.285        0.4      0.454      0.336
1739       0.054      0.057      0.043      0.012
1740       0.009      0.011      0.045      0.106
1741       0.029      0.014      0.024      0.049
1742      -0.669     -0.761     -0.825     -0.621
1743      -0.304     -0.307      -0.38     -0.399
1744       0.775      1.018      1.039      0.676
1745       0.924      1.115      1.187      0.868
1746       1.208      1.471      1.555      1.034
1747       1.057      1.326      1.423      0.943
1748       -1.14     -1.471      -1.52     -1.065
1749       0.101      0.228      0.212      0.003
1750       0.434      0.444      0.415      0.283
1751       0.241      0.222      0.153      0.018
1752      -1.217     -1.598     -1.738     -1.314
1753      -0.682     -0.658     -0.658     -0.528
1754      -0.731      -0.89     -1.025     -0.801
1755      -0.116      -0.12     -0.216     -0.245
1756       0.368      0.339      0.285      0.126
1757       -1.03     -1.361     -1.482     -1.122
